date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:30:04	9819/9819	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e4a67f4-265b%22	http://demo.themefisher.com/vixcon/plugins/google-map/gmap3.min.js	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/plugins/google-map/gmap3.min.js	(from http://demo.themefisher.com/vixcon/)
23:30:04	1674/1674	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e4a67f4-68a%22	http://demo.themefisher.com/vixcon/js/script.js	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/js/script.js	(from http://demo.themefisher.com/vixcon/)
23:30:04	41730/41730	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e4a67f4-a302%22	http://demo.themefisher.com/vixcon/plugins/magnific-popup/dist/jquery.magnific-popup.js	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/plugins/magnific-popup/dist/jquery.magnific-popup.js	(from http://demo.themefisher.com/vixcon/)
23:30:11	478649/478649	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e4a67f4-74db9%22	http://demo.themefisher.com/vixcon/plugins/themefisher-font/fonts/themefisher-font.svg?ug5hnh	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/plugins/themefisher-font/fonts/themefisher-font692c.svg	(from http://demo.themefisher.com/vixcon/plugins/themefisher-font/style.css)
23:30:12	4178/4178	---M--	200	added ('OK')	image/gif	etag:%225e4a67f4-1052%22	http://demo.themefisher.com/vixcon/plugins/slick-carousel/slick/ajax-loader.gif	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/plugins/slick-carousel/slick/ajax-loader.gif	(from http://demo.themefisher.com/vixcon/plugins/slick-carousel/slick/slick-theme.css)
23:30:13	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e4a67f4-800%22	http://demo.themefisher.com/vixcon/plugins/slick-carousel/slick/fonts/slick.eot	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/plugins/slick-carousel/slick/fonts/slick.eot	(from http://demo.themefisher.com/vixcon/plugins/slick-carousel/slick/slick-theme.css)
23:30:14	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e4a67f4-800%22	http://demo.themefisher.com/vixcon/plugins/slick-carousel/slick/fonts/slick.eot?	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/plugins/slick-carousel/slick/fonts/slickd41d.eot	(from http://demo.themefisher.com/vixcon/plugins/slick-carousel/slick/slick-theme.css)
23:30:15	1380/1380	---M--	200	added ('OK')	application/font-woff	etag:%225e4a67f4-564%22	http://demo.themefisher.com/vixcon/plugins/slick-carousel/slick/fonts/slick.woff	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/plugins/slick-carousel/slick/fonts/slick.woff	(from http://demo.themefisher.com/vixcon/plugins/slick-carousel/slick/slick-theme.css)
23:30:15	1892/1892	---M--	200	added ('OK')	application/octet-stream	etag:%225e4a67f4-764%22	http://demo.themefisher.com/vixcon/plugins/slick-carousel/slick/fonts/slick.ttf	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/plugins/slick-carousel/slick/fonts/slick.ttf	(from http://demo.themefisher.com/vixcon/plugins/slick-carousel/slick/slick-theme.css)
23:30:16	2152/2152	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e4a67f4-868%22	http://demo.themefisher.com/vixcon/plugins/slick-carousel/slick/fonts/slick.svg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/plugins/slick-carousel/slick/fonts/slick.svg	(from http://demo.themefisher.com/vixcon/plugins/slick-carousel/slick/slick-theme.css)
23:30:16	150/150	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Nov%202020%2018:00:16%20GMT	http://demo.themefisher.com/vixcon/images/about/bg-1.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/about/bg-1.jpg	(from http://demo.themefisher.com/vixcon/css/style.css)
23:30:23	194444/194444	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e4a67f4-2f78c%22	http://demo.themefisher.com/vixcon/plugins/themefisher-font/fonts/themefisher-font.eot?ug5hnh	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/plugins/themefisher-font/fonts/themefisher-font692c.eot	(from http://demo.themefisher.com/vixcon/plugins/themefisher-font/style.css)
23:30:34	110649/110649	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-1b039%22	http://demo.themefisher.com/vixcon/images/bg/page-header.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/bg/page-header.jpg	(from http://demo.themefisher.com/vixcon/css/style.css)
23:30:38	194244/194244	---M--	200	added ('OK')	application/octet-stream	etag:%225e4a67f4-2f6c4%22	http://demo.themefisher.com/vixcon/plugins/themefisher-font/fonts/themefisher-font.ttf?ug5hnh	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/plugins/themefisher-font/fonts/themefisher-font692c.ttf	(from http://demo.themefisher.com/vixcon/plugins/themefisher-font/style.css)
23:30:39	194320/194320	---M--	200	added ('OK')	application/font-woff	etag:%225e4a67f4-2f710%22	http://demo.themefisher.com/vixcon/plugins/themefisher-font/fonts/themefisher-font.woff?ug5hnh	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/plugins/themefisher-font/fonts/themefisher-font692c.woff	(from http://demo.themefisher.com/vixcon/plugins/themefisher-font/style.css)
23:30:39	33531/33531	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-82fb%22	http://demo.themefisher.com/vixcon/images/bg/footer-bg.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/bg/footer-bg.jpg	(from http://demo.themefisher.com/vixcon/css/style.css)
23:30:40	103760/103760	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-19550%22	http://demo.themefisher.com/vixcon/images/banner/speakers-bg-black.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/banner/speakers-bg-black.jpg	(from http://demo.themefisher.com/vixcon/css/style.css)
23:30:49	61038/61038	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-ee6e%22	http://demo.themefisher.com/vixcon/images/blog/blog-2.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/blog/blog-2.jpg	(from http://demo.themefisher.com/vixcon/blog.html)
23:30:50	66282/66282	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-102ea%22	http://demo.themefisher.com/vixcon/images/blog/blog-1.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/blog/blog-1.jpg	(from http://demo.themefisher.com/vixcon/blog.html)
23:30:52	71817/71817	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-11889%22	http://demo.themefisher.com/vixcon/images/bg/ctg.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/bg/ctg.jpg	(from http://demo.themefisher.com/vixcon/about.html)
23:30:55	29834/29834	---M--	200	added ('OK')	image/png	etag:%225e4a67f4-748a%22	http://demo.themefisher.com/vixcon/images/about/signup.png	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/about/signup.png	(from http://demo.themefisher.com/vixcon/signup.html)
23:30:59	41821/41821	---M--	200	added ('OK')	image/png	etag:%225e4a67f4-a35d%22	http://demo.themefisher.com/vixcon/images/about/404-Error-Concept.png	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/about/404-Error-Concept.png	(from http://demo.themefisher.com/vixcon/error.html)
23:31:06	44602/44602	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-ae3a%22	http://demo.themefisher.com/vixcon/images/avater.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/avater.jpg	(from http://demo.themefisher.com/vixcon/blog-single.html)
23:31:09	11971/11971	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-2ec3%22	http://demo.themefisher.com/vixcon/images/clients/s-2.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/clients/s-2.jpg	(from http://demo.themefisher.com/vixcon/blog-single.html)
23:31:11	9673/9673	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-25c9%22	http://demo.themefisher.com/vixcon/images/clients/s-1.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/clients/s-1.jpg	(from http://demo.themefisher.com/vixcon/blog-single.html)
23:31:11	204507/204507	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-31edb%22	http://demo.themefisher.com/vixcon/images/blog/blog-3.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/blog/blog-3.jpg	(from http://demo.themefisher.com/vixcon/blog.html)
23:31:14	134975/134975	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-20f3f%22	http://demo.themefisher.com/vixcon/images/blog/blog-post-1.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/blog/blog-post-1.jpg	(from http://demo.themefisher.com/vixcon/blog-single.html)
23:32:43	2381356/2381356	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-24562c%22	http://demo.themefisher.com/vixcon/images/about/login.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/about/login.jpg	(from http://demo.themefisher.com/vixcon/login.html)
